Target,Dataframe,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy,Bal. Accuracy
Eritromicina,maldi,LogisticRegression,0.5203333333333333,0.013182479955523447,0.2709205555555555,0.5203333333333333,0.3562664770033191,0.6129032258064516,0.5
Eritromicina,maldi,Ridge,0.5203333333333333,0.013182479955523447,0.2709205555555555,0.5203333333333333,0.3562664770033191,0.6129032258064516,0.5
Eritromicina,maldi,DecisionTree,0.53,0.08697381470560231,0.5337060717060718,0.53,0.5265687645687646,0.3870967741935484,0.3771929824561403
Eritromicina,maldi,K-nn,0.6363333333333333,0.13846941098227356,0.6457717689717689,0.6363333333333333,0.6324824933520585,0.4838709677419355,0.5175438596491228
Eritromicina,maldi,RandomForest,0.6026666666666667,0.06375822387042406,0.6046710446416329,0.6026666666666667,0.5977111382444715,0.41935483870967744,0.4342105263157895
Eritromicina,maldi,BernoulliNB,0.5456666666666666,0.09908245724311308,0.5557340829105535,0.5456666666666666,0.5372722527625077,0.3870967741935484,0.3925438596491228
Eritromicina,maldi,GaussianNB,0.5536666666666666,0.062471326756094,0.5765023539240257,0.5536666666666666,0.526218472156596,0.2903225806451613,0.32894736842105265
Eritromicina,maldi,NearestCentroid,0.41533333333333333,0.03802630668366308,0.24329339199447894,0.41533333333333333,0.29499108734402857,0.3548387096774194,0.4583333333333333
Eritromicina,maldi,SVC,0.5206666666666666,0.07916649122787578,0.5385915032679738,0.5206666666666666,0.5064495062410315,0.3870967741935484,0.40789473684210525
Eritromicina,maldi,LinearSVC,0.5203333333333333,0.013182479955523447,0.2709205555555555,0.5203333333333333,0.3562664770033191,0.6129032258064516,0.5
Eritromicina,maldi,LabelPropagation,0.5203333333333333,0.013182479955523447,0.2709205555555555,0.5203333333333333,0.3562664770033191,0.6129032258064516,0.5
Eritromicina,maldi,LabelSpreading,0.5203333333333333,0.013182479955523447,0.2709205555555555,0.5203333333333333,0.3562664770033191,0.6129032258064516,0.5
Eritromicina,maldi,SGDClassifier,0.4956666666666667,0.02384207298966357,0.24625388888888886,0.4956666666666667,0.32887177402966883,0.6129032258064516,0.5
Eritromicina,maldi,stack,,,,,,0.5483870967741935,0.5855263157894737
Eritromicina,clusters,LogisticRegression,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.6129032258064516,0.5
Eritromicina,clusters,Ridge,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.6129032258064516,0.5
Eritromicina,clusters,DecisionTree,0.5706666666666667,0.0797328874012056,0.5820300738477209,0.5706666666666667,0.5596864185733751,0.45161290322580644,0.4605263157894737
Eritromicina,clusters,K-nn,0.6363333333333333,0.13846941098227356,0.6457717689717689,0.6363333333333333,0.6324824933520585,0.4838709677419355,0.5175438596491228
Eritromicina,clusters,RandomForest,0.644,0.0950707339008406,0.6471071710152593,0.644,0.638626693940479,0.45161290322580644,0.4605263157894737
Eritromicina,clusters,BernoulliNB,0.5456666666666666,0.09908245724311308,0.5557340829105535,0.5456666666666666,0.5372722527625077,0.3870967741935484,0.3925438596491228
Eritromicina,clusters,GaussianNB,0.5536666666666666,0.062471326756094,0.5765023539240257,0.5536666666666666,0.526218472156596,0.2903225806451613,0.32894736842105265
Eritromicina,clusters,NearestCentroid,0.46333333333333326,0.015165750888103095,0.2662230061484409,0.46333333333333326,0.31967650844121437,0.41935483870967744,0.5263157894736842
Eritromicina,clusters,SVC,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.6129032258064516,0.5
Eritromicina,clusters,LinearSVC,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.6129032258064516,0.5
Eritromicina,clusters,LabelPropagation,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.5806451612903226,0.47368421052631576
Eritromicina,clusters,LabelSpreading,0.512,0.028114843845279396,0.26874664251207725,0.512,0.3524569531937953,0.5806451612903226,0.47368421052631576
Eritromicina,clusters,SGDClassifier,0.4963333333333333,0.034839313681210446,0.28714358585858585,0.4963333333333333,0.3456915460351993,0.5806451612903226,0.47368421052631576
Eritromicina,clusters,stack,,,,,,0.45161290322580644,0.4451754385964912
Eritromicina,animals,LogisticRegression,0.675,0.022161026851459563,0.6844275724275725,0.675,0.6726221926221926,0.6129032258064516,0.6535087719298246
Eritromicina,animals,Ridge,0.667,0.025828494170414034,0.6780092717739776,0.667,0.6635044138492414,0.6129032258064516,0.6535087719298246
Eritromicina,animals,DecisionTree,0.587,0.1082302073257636,0.5891306830424478,0.587,0.5827813557238845,0.45161290322580644,0.4451754385964912
Eritromicina,animals,K-nn,0.7173333333333334,0.0980340077048096,0.7271738849385908,0.7173333333333334,0.7147123910572187,0.5161290322580645,0.5592105263157895
Eritromicina,animals,RandomForest,0.6266666666666667,0.04900113377373132,0.6289935064935065,0.6266666666666667,0.6243958403378693,0.45161290322580644,0.4605263157894737
Eritromicina,animals,BernoulliNB,0.562,0.1245007808989343,0.5636829836829838,0.562,0.5544774748600835,0.41935483870967744,0.4342105263157895
