Target,Dataframe,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy,Bal. Accuracy
Eritromicina,maldi,Stack,0.6033333333333333,0.10400854665736743,0.6101166666666666,0.6033333333333333,0.599963611267959,0.4838709677419355,0.4714912280701754
Tetraciclina,maldi,Stack,0.6743333333333335,0.05997777366102657,0.6777227605727606,0.6743333333333335,0.6711515151515152,0.6129032258064516,0.6092436974789917
Gentamicina,maldi,Stack,0.5770000000000001,0.022958900476963418,0.399530303030303,0.5770000000000001,0.46015414897767837,0.6129032258064516,0.46464646464646464
Clindamicina,maldi,Stack,0.8293333333333335,0.029393876913398124,0.8442921434019832,0.8293333333333335,0.807418567377489,0.8387096774193549,0.7222222222222222
Enrofloxacin,maldi,Stack,0.732,0.014696938456699081,0.5360400000000001,0.732,0.6188172757475082,0.41935483870967744,0.5
ANT(6)-Ia,maldi,Stack,0.8293333333333333,0.014966629547095742,0.6880177777777778,0.8293333333333333,0.7520351339481773,0.8064516129032258,0.5
ErmB,maldi,Stack,0.8133333333333335,0.016329931618554516,0.6617777777777778,0.8133333333333335,0.7296969696969696,0.8387096774193549,0.5
lsaE,maldi,Stack,0.8373333333333335,0.051235838151738204,0.7405517676767677,0.8373333333333335,0.7806795013771758,0.8064516129032258,0.625
tetM,maldi,Stack,0.8456666666666667,0.014892205269125786,0.715373888888889,0.8456666666666667,0.775022397891963,0.7096774193548387,0.5
tetO,maldi,Stack,0.7156666666666667,0.022548712700383663,0.5327295652173912,0.7156666666666667,0.6106493801150636,0.7741935483870968,0.5
mf3,maldi,Stack,0.6093333333333333,0.06388879227045835,0.4955616170861938,0.6093333333333333,0.5414909495962127,0.7419354838709677,0.6568181818181817
subspecies,maldi,Stack,0.9273333333333333,0.029223278392404926,0.9353090909090909,0.9273333333333333,0.9243055883916564,0.8387096774193549,0.8510101010101009
Eritromicina,clusters,Stack,0.5703333333333334,0.06792479501461729,0.5799231505336768,0.5703333333333334,0.5607457036133947,0.5483870967741935,0.5087719298245614
Tetraciclina,clusters,Stack,0.7153333333333334,0.050918235109503426,0.7259892107892107,0.7153333333333334,0.7099688382558391,0.5483870967741935,0.5504201680672269
Gentamicina,clusters,Stack,0.585,0.022607766610417565,0.400469696969697,0.585,0.455985985985986,0.6774193548387096,0.4772727272727273
Clindamicina,clusters,Stack,0.8620000000000001,0.047962948662946515,0.8791467344249954,0.8620000000000001,0.8424086150335188,0.8387096774193549,0.7222222222222222
