Target,Dataframe,Model,Accuracy CV,St. Dev. CV,Precision CV,Recall CV,F1-Score CV,Accuracy,Bal. Accuracy
Eritromicina,maldi,LogisticRegression,0.5675889328063242,0.02036244564804945,0.3225718258369917,0.5675889328063242,0.41123762284887605,0.6428571428571429,0.5
Eritromicina,maldi,Ridge,0.5675889328063242,0.02036244564804945,0.3225718258369917,0.5675889328063242,0.41123762284887605,0.6428571428571429,0.5
Eritromicina,maldi,DecisionTree,0.5596837944664032,0.14293006041966685,0.562022578870405,0.5596837944664032,0.5573882957153923,0.35714285714285715,0.3666666666666667
Eritromicina,maldi,K-nn,0.6478260869565217,0.07549717519434493,0.6597108038052004,0.6478260869565217,0.6439480809046026,0.4642857142857143,0.45
Eritromicina,maldi,RandomForest,0.6569169960474308,0.09977086341754823,0.6527280328367285,0.6569169960474308,0.6489997459599625,0.32142857142857145,0.3611111111111111
Eritromicina,maldi,BernoulliNB,0.5134387351778656,0.07818097890580106,0.5097095745712347,0.5134387351778656,0.5073047843134666,0.5,0.4777777777777778
Eritromicina,maldi,GaussianNB,0.5577075098814229,0.11161652233816786,0.5770230201630488,0.5577075098814229,0.5250109360903965,0.42857142857142855,0.4222222222222222
Eritromicina,maldi,NearestCentroid,0.5312252964426877,0.026496957726631392,0.3438212303399847,0.5312252964426877,0.405581950248232,0.5714285714285714,0.4444444444444444
Eritromicina,maldi,SVC,0.5312252964426877,0.0485281498797385,0.3129496298511593,0.5312252964426877,0.39376627067164155,0.6428571428571429,0.5
Eritromicina,maldi,LinearSVC,0.5675889328063242,0.02036244564804945,0.3225718258369917,0.5675889328063242,0.41123762284887605,0.6428571428571429,0.5
Eritromicina,maldi,LabelPropagation,0.5675889328063242,0.02036244564804945,0.3225718258369917,0.5675889328063242,0.41123762284887605,0.6428571428571429,0.5
Eritromicina,maldi,LabelSpreading,0.5675889328063242,0.02036244564804945,0.3225718258369917,0.5675889328063242,0.41123762284887605,0.6428571428571429,0.5
Eritromicina,maldi,SGDClassifier,0.5233201581027668,0.06662629553509279,0.27830305113343434,0.5233201581027668,0.36210886726231994,0.35714285714285715,0.5
Eritromicina,maldi,stack,,,,,,0.5357142857142857,0.4833333333333333
Eritromicina,clusters,LogisticRegression,0.5584980237154149,0.01792218821937494,0.36621999584879805,0.5584980237154149,0.4200140425076486,0.6071428571428571,0.4722222222222222
Eritromicina,clusters,Ridge,0.5584980237154149,0.01792218821937494,0.36621999584879805,0.5584980237154149,0.4200140425076486,0.6071428571428571,0.4722222222222222
Eritromicina,clusters,DecisionTree,0.5770750988142292,0.08093603224809659,0.5791106719367589,0.5770750988142292,0.568658848256035,0.4642857142857143,0.45
Eritromicina,clusters,K-nn,0.6478260869565217,0.07549717519434493,0.6597108038052004,0.6478260869565217,0.6439480809046026,0.4642857142857143,0.45
Eritromicina,clusters,RandomForest,0.6573122529644269,0.11790057351780023,0.651563382269904,0.6573122529644269,0.6460582282951097,0.39285714285714285,0.4388888888888889
